date;US;Germany;Italy;Spain;Korea, South
2020-01-22;1;0;0;0;1
2020-01-23;1;0;0;0;1
2020-01-24;2;0;0;0;2
2020-01-25;2;0;0;0;2
2020-01-26;5;0;0;0;3
2020-01-27;5;1;0;0;4
2020-01-28;5;4;0;0;4
2020-01-29;6;4;0;0;4
2020-01-30;6;4;0;0;4
2020-01-31;8;5;2;0;11
2020-02-01;8;8;2;1;12
2020-02-02;8;10;2;1;15
2020-02-03;11;12;2;1;15
2020-02-04;11;12;2;1;16
2020-02-05;11;12;2;1;19
2020-02-06;12;12;2;1;23
2020-02-07;12;13;3;1;24
2020-02-08;12;13;3;1;24
2020-02-09;12;14;3;2;25
2020-02-10;12;14;3;2;27
2020-02-11;13;16;3;2;28
2020-02-12;13;16;3;2;28
2020-02-13;14;16;3;2;28
2020-02-14;14;16;3;2;28
2020-02-15;14;16;3;2;28
2020-02-16;14;16;3;2;29
2020-02-17;14;16;3;2;30
2020-02-18;14;16;3;2;31
2020-02-19;14;16;3;2;31
2020-02-20;14;16;3;2;104
2020-02-21;16;16;20;2;204
2020-02-22;16;16;62;2;433
2020-02-23;16;16;155;2;602
2020-02-24;16;16;229;2;833
2020-02-25;16;16;322;6;977
2020-02-26;16;21;453;13;1261
2020-02-27;17;26;655;15;1766
2020-02-28;17;53;888;32;2337
2020-02-29;25;66;1128;45;3150
2020-03-01;32;117;1694;84;3736
2020-03-02;55;150;2036;120;4335
2020-03-03;74;188;2502;165;5186
2020-03-04;107;240;3089;222;5621
2020-03-05;184;349;3858;259;6088
2020-03-06;237;534;4636;400;6593
2020-03-07;403;684;5883;500;7041
2020-03-08;519;847;7375;673;7314
2020-03-09;594;1112;9172;1073;7478
2020-03-10;782;1296;10149;1695;7513
2020-03-11;1147;1567;12462;2277;7755
2020-03-12;1586;2369;15113;2277;7869
2020-03-13;2219;3062;17660;5232;7979
2020-03-14;2978;3795;21157;6391;8086
2020-03-15;3212;4838;24747;7798;8162
2020-03-16;4679;6012;27980;9942;8236
2020-03-17;6512;7156;31506;11748;8320
2020-03-18;9169;8198;35713;13910;8413
2020-03-19;13663;10999;41035;17963;8565
2020-03-20;20030;13957;47021;20410;8652
